적재_연월일,정류장_ID,정류장_명,행정구역코드
202306,185003298,한밭수목원,
202306,185003299,천연기념물센터,
202306,185003300,평송청소년문화센터,
202306,185003301,천연기념물센터,
202306,185003302,평송청소년문화센터,
202306,185003303,새터,
202306,185003304,기성초등학교,
202306,185003305,기성초등학교,
202306,185003306,매노동,
202306,185003307,매노동,
202306,185003308,목운주택입구,
202306,185003309,목운주택입구,
202306,185003310,내동중학교,
202306,185003311,내동중학교,
202306,185003312,내동네거리,
202306,185003313,내동,
202306,185003314,변전소네거리,
202306,185003315,향우네거리,
202306,185003316,향우네거리,
202306,185003317,변동네거리,
202306,185003318,내동초등학교,
202306,185003319,변동네거리,
202306,185003320,변동시장,
202306,185003321,변동오거리,
202306,185003322,변동시장,
202306,185003323,변동초등학교,
202306,185003324,변동초등학교,
202306,185003325,혜천대학교,
202306,185003326,혜천대학교,
202306,185003327,혜천대학교,
202306,185003328,복수동주민센터,
202306,185003329,혜천대학교,
202306,185003330,목화아파트,
202306,185003331,서부경찰서,
202306,185003332,초록마을5단지,
202306,185003333,초록마을5단지,
202306,185003334,안복수길,
202306,185003335,안복수길,
202306,185003336,초록마을네거리,
202306,185003337,신계초등학교,
202306,185003338,초록마을5단지,
202306,185003339,초록마을3단지,
202306,185003340,신계초등학교,
202306,185003341,초록마을아파트,
202306,185003342,복수동사정교,
202306,185003343,초록마을아파트,
202306,185003344,복수동사정교,
202306,185003345,초록마을3단지,
202306,185003346,초록마을3단지,
202306,185003347,봉곡동,
202306,185003348,봉곡동,
202306,185003349,봉곡1통,
202306,185003350,봉곡1통,
202306,185003351,봉곡,
202306,185003352,봉곡,
202306,185003353,용태울,
202306,185003354,용태울,
202306,185003355,토옥골,
202306,185003356,토옥골,
202306,185003357,밤갈미,
202306,185003358,밤갈미,
202306,185003359,용바위,
202306,185003360,오동,
202306,185003361,오동,
202306,185003362,영골,
202306,185003363,영골,
202306,185003364,서부농협.카톨릭병원,
202306,185003365,서부농협.카톨릭병원,
202306,185003366,장미아파트,
202306,185003367,용문역3번출구,
202306,185003368,용문동주민센터,
202306,185003369,용문역8번출구,
202306,185003370,용문역7번출구,
202306,185003371,용문치안센터,
202306,185003372,탄방주공아파트,
202306,185003373,도산서원,
202306,185003374,용촌2통,
202306,185003375,용촌2통,
202306,185003376,용촌교,
202306,185003377,용촌교,
202306,185003378,용촌교삼거리,
202306,185003379,용촌1통,
202306,185003380,용촌1통,
202306,185003381,야실,
202306,185003382,야실,
202306,185003383,우명동종점,
202306,185003384,우명동종점,
202306,185003385,우명동,
202306,185003386,우명동,
202306,185003387,우명2구,
202306,185003388,우명2구,
202306,185003389,조동1리,
202306,185003390,우명동기적소리,
202306,186004150,충대운동장,
202306,186004151,우주통신연구소,
202306,186004152,우주통신연구소,
202306,186004153,충대수의대,
202306,186004154,충대수의대,
202306,186004155,충남대학교,
202306,186004156,충남대학교,
202306,186004157,충남대학교,
202306,186004159,충남대학교,
202306,186004160,충남대학교,
202306,186004161,충남대산학연,
202306,186004162,충남대산학연,
202306,186004163,충남대도서관,
202306,186004164,충남대학교입구,
202306,186004165,충남대도서관,
202306,186004166,다솔아파트,
202306,186004167,다솔아파트,
202306,186004168,충대농대입구,
202306,186004169,궁동,
202306,186004170,궁동,
202306,186004171,소비자마트,
202306,186004172,충대농대입구,
202306,186004173,궁동,
202306,186004174,한빛아파트,
202306,186004175,충대농대입구,
202306,186004176,한빛아파트,
202306,186004187,금탄동종점,
202306,186004188,금탄동종점,
202306,186004189,수정초등학교,
202306,186004190,수정초등학교,
202306,186004191,노은농수산시장,
202306,186004193,노은농수산시장,
202306,186004197,노은동화훼단지,2504059
202306,186004198,노은동화훼단지,2504054
202306,186004199,대동보건소,
202306,186004200,대동보건소,
202306,186004201,대동1통,
202306,186004202,대동1통,
202306,186004203,대동,
202306,186004204,대동,
202306,186004205,대동,
202306,186004206,대동,
202306,186004207,둔곡동,2502054
202306,186004208,둔곡동,2502054
202306,186004209,둔곡3교,2504061
202306,186004210,둔곡3교,2504061
202306,186004211,대정동,
202306,186004212,대정동,
202306,186004213,용머리,
202306,186004214,용머리,
202306,186004215,대정2통,
202306,186004216,대정2통,
202306,186004217,교촌동,
202306,186004218,화물터미널,
202306,186004219,교촌3통,
202306,186004220,교촌3통,
202306,186004221,화물터미널,
202306,186004222,화물터미널,
202306,186004223,중고차유통단지,
202306,186004224,드리움아파트,
202306,186004225,드리움공원,
202306,186004226,드리움공원,
202306,186004227,반석마을입구,2504060
202306,186004228,반석마을입구,2504060
202306,186004229,반석역,2504060
202306,186004230,반석역,2504060
202306,186004231,드리움공원,
202306,186004232,드리움공원,
202306,186004233,드리움아파트,
202306,186004234,드리움아파트,
202306,186004235,교도소,
202306,186004236,교도소,
202306,186004237,수통골기점지,
202306,186004238,화산리,
202306,186004239,한밭대학교,
202306,186004240,삼성화재연수원,
202306,186004241,신협연수원,
202306,186004242,수통골기점지,
202306,186004243,화산리,
202306,186004244,한밭대학교,
202306,186004245,국립현충원,
202306,186004246,국립현충원,
202306,186004247,국립현충원,
202306,186004248,삼성화재연수원,
202306,186004249,덕명중학교,
202306,186004250,덕명중학교,
202306,186004251,신협연수원,
202306,186004252,한국표준과학연구원,
202306,186004253,한국표준과학연구원,
202306,186004254,한국표준과학연구소,
202306,186004255,한국표준과학연구소,
202306,186004256,도룡지구대,
202306,186004257,도룡파출소,
202306,186004258,연구단지네거리,
202306,186004259,연구단지네거리,
202306,186004260,공동관리아파트,
202306,186004261,공동관리아파트,
202306,186004262,대덕고등학교,
202306,186004585,계산동,
202306,186004586,계산동,
202306,186004587,진미식품,
202306,186004588,진미식품,
202306,186004589,진미식품,
202306,186004590,신생병원임시정류장,
202306,186004591,신생병원임시정류장,
202306,186004592,용계동종점,
202306,186004593,용계동종점,
202306,186004594,용계동종점,
202306,186004595,용계2동,
202306,186004596,용계2동,
202306,186004597,용계동,
202306,186004598,용계동,
202306,186004599,용계동.정수마을,
202306,186004600,용계동.정수마을,
202306,186004601,도로교통공단,
202306,186004602,목원대학사마을,
202306,186004603,용계54통,
202306,186004604,목원대학사마을,
202306,186004605,용계54통,
202306,186004606,테크노밸리12단지,
202306,186004607,테크노밸리12단지,
202306,186004608,테크노밸리11.12단지,
202306,186004609,테크노밸리11.12단지,
202306,186004610,용산고,
202306,186004611,용산고,
202306,186004612,한국방송통신대학교,
202306,186004613,한국방송통신대학교,
202306,186004614,대덕밸리용신교,
202306,186004615,대덕밸리용신교,
202306,186004616,대덕밸리용신교,
202306,186004617,대덕밸리용신교,
202306,186004618,반석네거리,2504060
202306,186004619,미건테크노월드,
202306,186004620,노은도서관,2504060
202306,186004621,노은도서관,2504060
202306,186004622,노은역,2504059
202306,186004623,진잠중학교,
202306,186004624,진잠중학교,
202306,186004625,진잠농협,
202306,186004626,진잠감리교회,
202306,186004627,원내동,
202306,186004628,원내동,
202306,186004629,서대전IC,
202306,186004630,송림마을아파트,2504060
202306,186004631,원내동,
202306,186004632,원내동공영차고지,
202306,186004633,원내동,
202306,186004634,원내동,
202306,186004635,제이파크아파트,
202306,186004636,한아름아파트,
202306,186004637,원내동,2504060
202306,186004638,지족역,2504060
202306,186004639,지족역,2504060
202306,186004640,노은역,2504059
202306,186004641,지족초등학교,2504060
202306,186004642,샘물타운,
202306,186004643,진잠타운아파트,
202306,186004644,진잠타운,
202306,186004645,진잠타운아파트,
202306,186004646,샘물타운,
202306,186004647,진잠타운,
202306,186004648,서대전IC,
202306,186004649,진잠타운아파트,
202306,186004650,샘물타운아파트,
202306,186004651,샘물타운아파트,
202306,186004652,샘물타운,
202306,186004653,롯데마트서대전점,
202306,186004654,신선마을아파트,
202306,186004655,도로교통공단,
202306,186004656,목원대입구,
202306,186004657,목원대입구,
202306,186004658,흥도초등학교,
202306,186004659,흥도초등학교,
202306,186004660,도안고등학교,
202306,186004661,흥도초등학교,
202306,186004662,도안고등학교,
202306,186004663,흥도초등학교,
202306,186004664,목원대입구,
202306,186004665,목원대네거리,
202306,186004666,목원대입구,
202306,186004667,목원대입구,
202306,186004668,음지마을,
202306,186004669,음지마을,
202306,186004670,신흥교,
202306,186004671,신흥교,
202306,186004672,어울림하트 12단지,
202306,186004673,양지마을,
202306,186004674,양지마을,
202306,186004675,대전에너지사업단,
202306,186004676,신안인스빌,
202306,186004677,신안인스빌,
202306,186004678,원신흥동,
202306,186004679,원신흥동,
202306,186004680,원촌동솔로몬로파크,
202306,186004681,원촌동솔로몬로파크,
202306,186004682,싸이언스빌3가,
202306,270051867,벤처프라자,
202306,270051868,남촌리,
202306,270051877,오창호수공원,
202306,270051878,양청지하도,
